# Group , DSID , name , tags (tags are not really used for anything in this context)
# Zjets
zjets     , 363102 , Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_CVetoBVeto               , e4742_s2726_r7725_r7676_p2613
zjets     , 363103 , Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_CFilterBVeto             , e4742_s2726_r7725_r7676_p2613
zjets     , 363104 , Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_BFilter                  , e4792_s2726_r7725_r7676_p2613
zjets     , 363105 , Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_CVetoBVeto              , e4666_s2726_r7725_r7676_p2613
zjets     , 363106 , Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_CFilterBVeto            , e4666_s2726_r7725_r7676_p2613
zjets     , 363107 , Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_BFilter                 , e4742_s2726_r7725_r7676_p2613
zjets     , 363108 , Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_CVetoBVeto              , e4666_s2726_r7725_r7676_p2613
zjets     , 363109 , Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_CFilterBVeto            , e4792_s2726_r7725_r7676_p2613
zjets     , 363110 , Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_BFilter                 , e4792_s2726_r7725_r7676_p2613
zjets     , 363111 , Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_CVetoBVeto              , e4666_s2726_r7725_r7676_p2613
zjets     , 363112 , Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_CFilterBVeto            , e4742_s2726_r7725_r7676_p2613
zjets     , 363113 , Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_BFilter                 , e4742_s2726_r7725_r7676_p2613
zjets     , 363114 , Sherpa_NNPDF30NNLO_Ztautau_Pt700_1000_CVetoBVeto             , e4742_s2726_r7725_r7676_p2613
zjets     , 363115 , Sherpa_NNPDF30NNLO_Ztautau_Pt700_1000_CFilterBVeto           , e4792_s2726_r7725_r7676_p2613
